id,name,text,trans
0000000000000,あさり先生,{user}くん。今回の目標となる\n定期公演について説明しますね。,{user}君。我来为你说明这次的目标\n定期公演的相关事项。
0000000000000,あさり先生,初星学園には定期的に行っている\n『初』という公演があるんです。,初星学园定期举办的\n有一场名为《初》的公演。
0000000000000,あさり先生,中間と最終、\n2回の試験を突破することで、,只要通过中期和期末\n这两次考核，
0000000000000,あさり先生,『初』に出演することができます。\nただし……,就能获得《初》的出演资格。\n不过……
0000000000000,あさり先生,メインステージでライブをする\n権利を得るためには、,要想赢得在\n主舞台举办演唱会的权利，
0000000000000,あさり先生,厳しい条件を\n満たす必要があるんです。,必须满足相当\n严苛的条件才行。
0000000000000,あさり先生,最終試験の結果は特に重要です。,其中期末考核的结果尤为重要。
0000000000000,あさり先生,さあ、思い浮かべてみてください。,来吧，试着想象一下。
0000000000000,あさり先生,いくつものハードルを乗り越えた先――,跨越重重障碍之后——
0000000000000,あさり先生,きみの担当アイドルが、\n大歓声の中でライブをする姿を。,你培养的偶像\n在万众欢呼中演出的模样。
0000000000000,あさり先生,その光景が現実になるよう、\nがんばっていきましょう。,为了让这幅光景成为现实，\n让我们一起努力吧。
info,adv_pstory_001_cmmn_world-explanation.txt,,
译者,Pro/deepseek-ai/DeepSeek-V3,,
