id,name,text,trans
0000000000000,リーリヤ,……あ、センパイ。\n来てくれて、ありがとうございます。,……啊、前辈。\n谢谢你来了。
0000000000000,リーリヤ,き、緊張しちゃって……\nどうしたらいいか……。,好、好紧张……\n该怎么办才好……
0000000000000,{user},やっぱり、まだ慣れませんか？,果然还是不太习惯吗？
0000000000000,リーリヤ,……はい。\n一生、慣れる気がしません……。,……是的。\n感觉一辈子都习惯不了……
0000000000000,{user},大丈夫ですよ。\n昨日のリハーサルも順調でしたし――,没问题的。\n昨天的彩排也很顺利——
0000000000000,{user},今の葛城さんは、素敵なアイドルです。,现在的葛城同学，已经是位出色的偶像了。
0000000000000,リーリヤ,センパイ……。ふふ、そうですね。,前辈……。呵呵，是啊。
0000000000000,リーリヤ,──わたし、アイドルですから。,——因为我是偶像啊。
select,,良い顔に\nなりましたね,表情\n变得不错了呢
select,,しっかり\n見ていますから,我会好好\n看着你的
select,,期待しています,我很期待
0000000000000,リーリヤ,……わたし、ついなんでも……\nマイナスに、考えちゃうんです。,……我总是不由自主地……\n把事情往坏处想。
0000000000000,リーリヤ,失敗したらどうしよう……,要是失败了怎么办……
0000000000000,リーリヤ,周りから、どんなふうに\n思われてるんだろう……って。,大家会怎么\n看待我呢……之类的。
0000000000000,リーリヤ,でも……,但是……
0000000000000,リーリヤ,センパイが、わたしを素敵なアイドル\nだって……言ってくれる、限り──,只要前辈还说我是\n出色的偶像——
0000000000000,リーリヤ,わたしは、きっと大丈夫です。,我就一定没问题的。
0000000000000,{user},心細くなったら、思い出してください。,感到不安的时候，请回想起来。
0000000000000,{user},観客席のどこかで、あなたの一番の\nファンが見守っていることを。,在观众席的某个地方，有你最忠实的\n粉丝在守护着你。
0000000000000,リーリヤ,……ふふ、はい。センパイ……\n本当に、ありがとうございます。,……呵呵，嗯。前辈……\n真的非常感谢你。
0000000000000,リーリヤ,わたしなんかが……って\n思ってたけど……,虽然我这样的人……\n曾经觉得不配……
0000000000000,リーリヤ,良いパフォーマンスをして、\n上位を目指します。,但我会献上精彩的表演，\n以顶尖为目标。
0000000000000,リーリヤ,頑張ってきますね、センパイ。,我要去努力了，前辈。
0000000000000,リーリヤ,……期待、ですか……。,……期待吗……。
0000000000000,{user},はい。少しずつだとしても、\nあなたは成長をしてきました。,是的。即便是一点一滴，\n你也确实在成长。
0000000000000,{user},大丈夫です。今の葛城さんの\n精一杯をステージで見せてください。,没问题的。请把现在的葛城同学\n全力以赴的舞台展现给大家吧。
0000000000000,リーリヤ,……本当は、まだそんなに\n自信がついたわけじゃないんです……。,……其实我还远远\n没有建立起自信……
0000000000000,リーリヤ,ついていくのに、\nとりつくろうのに必死で……,光是拼命追赶、\n勉强掩饰就耗尽力气……
0000000000000,リーリヤ,でも……,但是……
0000000000000,リーリヤ,見ててください、センパイ。\n今までで最高のステージにします！,请看着我吧，前辈。\n我会献上迄今为止最棒的舞台！
info,adv_pstory_001_kllj_before-audition-final-normal-01.txt,,
译者,Pro/deepseek-ai/DeepSeek-V3,,
